,equity
2018-01-10,145.7164271016783
2018-01-11,1012.8808265778869
2018-01-12,2461.73971357733
2018-01-13,2461.73971357733
2018-01-14,2461.73971357733
2018-01-15,4086.4850831550107
2018-01-16,6130.655340619547
2018-01-17,9039.58687161994
2018-01-18,12628.988648081882
2018-01-19,16749.09859566439
2018-01-20,16749.09859566439
2018-01-21,16749.09859566439
2018-01-22,21502.723704635362
2018-01-23,26422.90215111844
2018-01-24,31870.571648439018
2018-01-25,37868.75736153189
2018-01-26,44769.492205293296
2018-01-27,44769.492205293296
2018-01-28,44769.492205293296
2018-01-29,52446.25255829472
2018-01-30,60742.935452233556
2018-01-31,69122.71556181692
2018-02-01,77922.8132489662
2018-02-02,86778.37378246925
2018-02-03,86778.37378246925
2018-02-04,86778.37378246925
2018-02-05,94916.88520308946
2018-02-06,103330.43692062484
2018-02-07,111584.42657002178
2018-02-08,119184.18460797866
2018-02-09,126656.87363920595
2018-02-10,126656.87363920595
2018-02-11,126656.87363920595
2018-02-12,126656.87363920595
2018-02-13,126656.87363920595
2018-02-14,135546.40730382566
2018-02-15,144138.49299923575
2018-02-16,153681.0388190007
2018-02-17,153681.0388190007
2018-02-18,153681.0388190007
2018-02-19,164955.32575783998
2018-02-20,177443.9604633798
2018-02-21,190305.191053535
2018-02-22,203812.16207416658
2018-02-23,218110.18344937294
2018-02-24,218110.18344937294
2018-02-25,218110.18344937294
2018-02-26,233221.13533000753
2018-02-27,248762.0286607917
2018-02-28,264713.43609095766
2018-03-01,280691.008690833
2018-03-02,296707.9620459949
2018-03-03,296707.9620459949
2018-03-04,296707.9620459949
2018-03-05,313015.6426720363
2018-03-06,329436.12851423654
2018-03-07,345970.7613968935
2018-03-08,362976.46534918394
2018-03-09,380059.51604652
2018-03-10,380059.51604652
2018-03-11,380059.51604652
2018-03-12,396584.5169823634
2018-03-13,413189.70128061896
2018-03-14,429994.6388436858
2018-03-15,446908.75474038103
2018-03-16,463308.711931846
2018-03-17,463308.711931846
2018-03-18,463308.711931846
2018-03-19,478623.8273951197
2018-03-20,493111.9519060054
2018-03-21,507529.1730815595
2018-03-22,521927.9225966642
2018-03-23,536547.5464041502
2018-03-24,536547.5464041502
2018-03-25,536547.5464041502
2018-03-26,551763.4085894316
2018-03-27,566831.4462842374
2018-03-28,581478.1251381135
2018-03-29,596243.3989428938
2018-03-30,596243.3989428938
2018-03-31,596243.3989428938
2018-04-01,596243.3989428938
2018-04-02,610692.5724737796
2018-04-03,624585.0256737939
2018-04-04,638517.2081492407
2018-04-05,652703.1787072142
2018-04-06,666926.8767642281
2018-04-07,666926.8767642281
2018-04-08,666926.8767642281
2018-04-09,680863.8024526263
2018-04-10,695325.3893579821
2018-04-11,710082.2835437183
2018-04-12,725160.808216668
