,equity
2018-01-10,-0.09869323269559102
2018-01-11,317.1267590032077
2018-01-12,956.8632332459802
2018-01-13,956.8632332459802
2018-01-14,956.8632332459802
2018-01-15,1772.4861900669903
2018-01-16,3007.534034774856
2018-01-17,5107.343153018577
2018-01-18,7887.622516723848
2018-01-19,11198.610051549684
2018-01-20,11198.610051549684
2018-01-21,11198.610051549684
2018-01-22,15143.112747763986
2018-01-23,19254.168781490393
2018-01-24,23892.7158660543
2018-01-25,29081.7791663905
2018-01-26,35173.39159739523
2018-01-27,35173.39159739523
2018-01-28,35173.39159739523
2018-01-29,42041.02953763998
2018-01-30,49477.539226393004
2018-01-31,57088.17259867806
2018-02-01,65145.50173324227
2018-02-02,73343.32733196855
2018-02-03,73343.32733196855
2018-02-04,73343.32733196855
2018-02-05,81159.88706796116
2018-02-06,89091.07346866457
2018-02-07,96848.29694584668
2018-02-08,103977.73655308915
2018-02-09,110647.31977860161
2018-02-10,110647.31977860161
2018-02-11,110647.31977860161
2018-02-12,110647.31977860161
2018-02-13,110647.31977860161
2018-02-14,117621.06878002659
2018-02-15,124297.36981224194
2018-02-16,130895.1555574556
2018-02-17,130895.1555574556
2018-02-18,130895.1555574556
2018-02-19,138016.91728770334
2018-02-20,145878.89582486745
2018-02-21,154113.47024664696
2018-02-22,162993.78509890282
2018-02-23,172665.1503057335
2018-02-24,172665.1503057335
2018-02-25,172665.1503057335
2018-02-26,183149.4460179924
2018-02-27,194063.68318040087
2018-02-28,205388.43444219112
2018-03-01,216739.35087369074
2018-03-02,228129.64806047687
2018-03-03,228129.64806047687
2018-03-04,228129.64806047687
2018-03-05,239810.67251814262
2018-03-06,251604.5021919671
2018-03-07,263512.47890624835
2018-03-08,275891.5266901631
2018-03-09,288677.352252629
2018-03-10,288677.352252629
2018-03-11,288677.352252629
2018-03-12,301375.5997256309
2018-03-13,314255.4631600627
2018-03-14,327365.86711064685
2018-03-15,340248.45442086045
2018-03-16,352626.5610875835
2018-03-17,352626.5610875835
2018-03-18,352626.5610875835
2018-03-19,364315.584989781
2018-03-20,375481.3760858579
2018-03-21,386635.1451319356
2018-03-22,397893.3342580817
2018-03-23,409365.1718518418
2018-03-24,409365.1718518418
2018-03-25,409365.1718518418
2018-03-26,421226.3104418161
2018-03-27,433164.8397978175
2018-03-28,444789.4260545757
2018-03-29,456309.44060540985
2018-03-30,456309.44060540985
2018-03-31,456309.44060540985
2018-04-01,456309.44060540985
2018-04-02,467287.3016442541
2018-04-03,477607.25059522287
2018-04-04,487501.2549284109
2018-04-05,497331.4973575878
2018-04-06,507112.2652800318
2018-04-07,507112.2652800318
2018-04-08,507112.2652800318
2018-04-09,516606.26083386
2018-04-10,526624.9176046458
2018-04-11,536938.8816558121
2018-04-12,547574.4761941918
2018-04-13,558090.7233394537
2018-04-14,558090.7233394537
2018-04-15,558090.7233394537
2018-04-16,568456.260425842
2018-04-17,578659.8934038661
2018-04-18,588856.0930825332
2018-04-19,599299.051800076
2018-04-20,610352.317933544
2018-04-21,610352.317933544
2018-04-22,610352.317933544
2018-04-23,622253.4661272487
2018-04-24,634634.3958835056
2018-04-25,646849.2482198356
2018-04-26,659310.4645834841
2018-04-27,672040.3283580842
2018-04-28,672040.3283580842
2018-04-29,672040.3283580842
2018-04-30,684921.8858714624
2018-05-01,684921.8858714624
2018-05-02,698059.4814141191
2018-05-03,711389.6007581119
2018-05-04,724458.1352257577
2018-05-05,724458.1352257577
2018-05-06,724458.1352257577
2018-05-07,737479.4512197536
2018-05-08,750594.6112267271
2018-05-09,764691.5373716652
2018-05-10,780246.3738616643
2018-05-11,797060.787639014
2018-05-12,797060.787639014
2018-05-13,797060.787639014
2018-05-14,815242.1897955762
2018-05-15,834909.4234988104
2018-05-16,855459.6201505996
2018-05-17,876044.2489048658
2018-05-18,896539.4820760608
2018-05-19,896539.4820760608
2018-05-20,896539.4820760608
2018-05-21,916529.3298363108
2018-05-22,935703.2796110791
2018-05-23,953373.4287755913
2018-05-24,969060.3413107276
2018-05-25,982321.4342392237
2018-05-26,982321.4342392237
2018-05-27,982321.4342392237
2018-05-28,992386.3025235466
2018-05-29,1000404.4786462499
2018-05-30,1007876.9690154428
2018-05-31,1007876.9690154428
2018-06-01,1013163.1046648722
2018-06-02,1013163.1046648722
2018-06-03,1013163.1046648722
2018-06-04,1017567.4294424602
2018-06-05,1021176.4029714859
2018-06-06,1023653.1843561281
2018-06-07,1024175.2062314794
2018-06-08,1023505.3375909728
2018-06-09,1023505.3375909728
2018-06-10,1023505.3375909728
2018-06-11,1021700.179301076
2018-06-12,1019269.7687686753
2018-06-13,1016308.5922839582
2018-06-14,1012886.3171180816
2018-06-15,1009110.0911406106
2018-06-16,1009110.0911406106
2018-06-17,1009110.0911406106
2018-06-18,1004688.7750247318
2018-06-19,1000255.4434888528
2018-06-20,996384.1339126974
2018-06-21,992547.3832584666
2018-06-22,988928.8136286674
2018-06-23,988928.8136286674
2018-06-24,988928.8136286674
2018-06-25,986308.0471002075
2018-06-26,983801.5278384476
2018-06-27,981568.8837732695
2018-06-28,980096.4504796884
2018-06-29,979921.2130056889
2018-06-30,979921.2130056889
2018-07-01,979921.2130056889
2018-07-02,980721.3808470931
2018-07-03,982379.0975483472
2018-07-04,984557.0949778957
2018-07-05,987322.4822078986
2018-07-06,990635.0053470997
2018-07-07,990635.0053470997
2018-07-08,990635.0053470997
2018-07-09,990635.0053470997
2018-07-10,993941.1478539736
2018-07-11,997252.5345965525
2018-07-12,1000202.4405857981
2018-07-13,1003218.2369535957
2018-07-14,1003218.2369535957
2018-07-15,1003218.2369535957
2018-07-16,1005971.1965582775
2018-07-17,1009169.5435642564
2018-07-18,1012599.9128919748
2018-07-19,1016246.1685391034
2018-07-20,1020626.9243953582
2018-07-21,1020626.9243953582
2018-07-22,1020626.9243953582
2018-07-23,1025821.9689471119
2018-07-24,1031777.5979049817
2018-07-25,1038909.5492211429
2018-07-26,1046154.6768655634
2018-07-27,1053631.309168162
2018-07-28,1053631.309168162
2018-07-29,1053631.309168162
2018-07-30,1061259.4373324495
2018-07-31,1068835.1416933092
2018-08-01,1076428.9010232897
2018-08-02,1084423.9057788707
2018-08-03,1092988.3441198147
2018-08-04,1092988.3441198147
2018-08-05,1092988.3441198147
2018-08-06,1102264.5141228957
2018-08-07,1112100.3842517298
2018-08-08,1121999.2717193526
2018-08-09,1131390.810924902
2018-08-10,1140032.7405671757
2018-08-11,1140032.7405671757
2018-08-12,1140032.7405671757
2018-08-13,1148057.867345088
2018-08-14,1155672.126631114
2018-08-15,1162677.1292414675
2018-08-16,1169097.9726489824
2018-08-17,1174973.4627536628
2018-08-18,1174973.4627536628
2018-08-19,1174973.4627536628
2018-08-20,1179890.1870106473
2018-08-21,1183817.2948170612
2018-08-22,1187230.3132575767
2018-08-23,1190204.6466883265
2018-08-24,1193128.8552716803
2018-08-25,1193128.8552716803
2018-08-26,1193128.8552716803
2018-08-27,1196281.876792305
2018-08-28,1199790.1120199983
2018-08-29,1203804.0394349345
2018-08-30,1208051.1794787457
2018-08-31,1212748.006918377
2018-09-01,1212748.006918377
2018-09-02,1212748.006918377
2018-09-03,1217560.7472441648
2018-09-04,1222442.5499448339
2018-09-05,1227103.4564059481
2018-09-06,1231773.451572243
2018-09-07,1231773.451572243
2018-09-08,1231773.451572243
2018-09-09,1231773.451572243
2018-09-10,1236573.6080860933
2018-09-11,1241032.4202277048
2018-09-12,1245689.3438245212
2018-09-13,1250186.8020437546
2018-09-14,1254377.8195822984
2018-09-15,1254377.8195822984
2018-09-16,1254377.8195822984
2018-09-17,1258837.6866958467
2018-09-18,1264051.085544288
2018-09-19,1269751.6765142328
2018-09-20,1276009.3984956655
2018-09-21,1283065.6226720605
2018-09-22,1283065.6226720605
2018-09-23,1283065.6226720605
2018-09-24,1290366.2376048658
2018-09-25,1297730.0958370906
2018-09-26,1305047.3831212434
2018-09-27,1313002.7740721423
2018-09-28,1321386.7385636512
2018-09-29,1321386.7385636512
2018-09-30,1321386.7385636512
2018-10-01,1330418.5814194812
2018-10-02,1340713.1075693439
2018-10-03,1352600.4917145858
2018-10-04,1365843.5790136815
2018-10-05,1380349.9387495879
2018-10-06,1380349.9387495879
2018-10-07,1380349.9387495879
2018-10-08,1396935.1857497985
2018-10-09,1414130.1895573654
2018-10-10,1432421.9112324286
2018-10-11,1451028.2728323087
2018-10-12,1451028.2728323087
2018-10-13,1451028.2728323087
2018-10-14,1451028.2728323087
2018-10-15,1469188.309031498
2018-10-16,1487430.7296284526
2018-10-17,1505714.3361160306
2018-10-18,1523665.7659599949
2018-10-19,1541612.892088538
2018-10-20,1541612.892088538
2018-10-21,1541612.892088538
2018-10-22,1559673.9461827662
2018-10-23,1577632.2023671488
2018-10-24,1595346.4046506104
2018-10-25,1613059.9913623107
2018-10-26,1631267.8326949624
2018-10-27,1631267.8326949624
2018-10-28,1631267.8326949624
2018-10-29,1649566.8985321852
2018-10-30,1668455.9827007086
2018-10-31,1687883.0790839114
2018-11-01,1707549.5559787971
2018-11-02,1707549.5559787971
2018-11-03,1707549.5559787971
2018-11-04,1707549.5559787971
2018-11-05,1727731.1088703792
2018-11-06,1748084.1555702437
2018-11-07,1767731.6138629224
2018-11-08,1786498.8888381291
2018-11-09,1804512.3177985984
2018-11-10,1804512.3177985984
2018-11-11,1804512.3177985984
2018-11-12,1821792.1079688089
2018-11-13,1837839.297995612
2018-11-14,1853240.1332731675
2018-11-15,1853240.1332731675
2018-11-16,1868867.0379761015
2018-11-17,1868867.0379761015
2018-11-18,1868867.0379761015
2018-11-19,1884662.0264060602
2018-11-20,1884662.0264060602
2018-11-21,1900385.7479598033
2018-11-22,1916472.8577553967
2018-11-23,1932146.2097565266
2018-11-24,1932146.2097565266
