,equity
2018-01-10,145.8151203343739
2018-01-11,695.7540675746791
2018-01-12,1504.8764803313493
2018-01-13,1504.8764803313493
2018-01-14,1504.8764803313493
2018-01-15,1504.8764803313493
2018-01-16,1504.8764803313493
2018-01-17,1504.8764803313493
2018-01-18,1504.8764803313493
2018-01-19,1504.8764803313493
2018-01-20,1504.8764803313493
2018-01-21,1504.8764803313493
2018-01-22,1504.8764803313493
2018-01-23,1504.8764803313493
2018-01-24,1504.8764803313493
2018-01-25,1504.8764803313493
2018-01-26,1504.8764803313493
2018-01-27,1504.8764803313493
2018-01-28,1504.8764803313493
2018-01-29,1504.8764803313493
2018-01-30,2365.04968551716
2018-01-31,3134.196422815461
2018-02-01,3876.9649754005227
2018-02-02,4534.699910177302
2018-02-03,4534.699910177302
2018-02-04,4534.699910177302
2018-02-05,4856.651594804913
2018-02-06,5339.016911636865
2018-02-07,5835.783083851682
2018-02-08,6306.101514566097
2018-02-09,7109.207320280926
2018-02-10,7109.207320280926
2018-02-11,7109.207320280926
2018-02-12,7109.207320280926
2018-02-13,7109.207320280926
2018-02-14,9024.991983475646
2018-02-15,9024.991983475646
2018-02-16,11969.752058026945
2018-02-17,11969.752058026945
2018-02-18,11969.752058026945
2018-02-19,16122.277266618466
2018-02-20,20748.93343499417
2018-02-21,20748.93343499417
2018-02-22,20748.93343499417
2018-02-23,20748.93343499417
2018-02-24,20748.93343499417
2018-02-25,20748.93343499417
2018-02-26,20748.93343499417
2018-02-27,20748.93343499417
2018-02-28,20748.93343499417
2018-03-01,20748.93343499417
2018-03-02,20748.93343499417
2018-03-03,20748.93343499417
2018-03-04,20748.93343499417
2018-03-05,20748.93343499417
2018-03-06,20748.93343499417
2018-03-07,20748.93343499417
2018-03-08,20748.93343499417
2018-03-09,25046.158569864332
2018-03-10,25046.158569864332
2018-03-11,25046.158569864332
2018-03-12,28872.912032705877
2018-03-13,32598.232896529626
2018-03-14,36292.76650901224
2018-03-15,40324.29509549384
2018-03-16,44346.14562023576
2018-03-17,44346.14562023576
2018-03-18,44346.14562023576
2018-03-19,47972.23718131193
2018-03-20,51294.570596120735
2018-03-21,54558.02272559717
2018-03-22,57698.58311455584
2018-03-23,60846.36932828174
2018-03-24,60846.36932828174
2018-03-25,60846.36932828174
2018-03-26,64201.09292358882
2018-03-27,67330.60126239328
2018-03-28,70352.69385951116
2018-03-29,73597.95311345738
2018-03-30,73597.95311345738
2018-03-31,73597.95311345738
2018-04-01,73597.95311345738
2018-04-02,77069.26560549885
2018-04-03,80641.76985454437
2018-04-04,84679.94799680317
2018-04-05,89035.6761255998
2018-04-06,93478.60626016972
2018-04-07,93478.60626016972
2018-04-08,93478.60626016972
2018-04-09,93478.60626016972
2018-04-10,93478.60626016972
2018-04-11,93478.60626016972
2018-04-12,93478.60626016972
2018-04-13,93478.60626016972
2018-04-14,93478.60626016972
2018-04-15,93478.60626016972
2018-04-16,93478.60626016972
2018-04-17,93478.60626016972
2018-04-18,93478.60626016972
2018-04-19,93478.60626016972
2018-04-20,93478.60626016972
2018-04-21,93478.60626016972
2018-04-22,93478.60626016972
2018-04-23,93478.60626016972
2018-04-24,93478.60626016972
2018-04-25,93478.60626016972
2018-04-26,93478.60626016972
2018-04-27,93478.60626016972
2018-04-28,93478.60626016972
2018-04-29,93478.60626016972
2018-04-30,93478.60626016972
2018-05-01,93478.60626016972
2018-05-02,93478.60626016972
2018-05-03,93478.60626016972
2018-05-04,93478.60626016972
2018-05-05,93478.60626016972
2018-05-06,93478.60626016972
2018-05-07,93478.60626016972
2018-05-08,93478.60626016972
2018-05-09,93478.60626016972
2018-05-10,93478.60626016972
2018-05-11,93478.60626016972
2018-05-12,93478.60626016972
2018-05-13,93478.60626016972
2018-05-14,93478.60626016972
2018-05-15,93478.60626016972
2018-05-16,93478.60626016972
2018-05-17,93478.60626016972
2018-05-18,93478.60626016972
2018-05-19,93478.60626016972
2018-05-20,93478.60626016972
2018-05-21,93478.60626016972
2018-05-22,93478.60626016972
2018-05-23,93478.60626016972
2018-05-24,93478.60626016972
2018-05-25,93478.60626016972
2018-05-26,93478.60626016972
2018-05-27,93478.60626016972
2018-05-28,93478.60626016972
2018-05-29,93478.60626016972
2018-05-30,93478.60626016972
2018-05-31,93478.60626016972
2018-06-01,93478.60626016972
2018-06-02,93478.60626016972
2018-06-03,93478.60626016972
2018-06-04,93478.60626016972
2018-06-05,93478.60626016972
2018-06-06,99076.58451519317
2018-06-07,99076.58451519317
2018-06-08,99076.58451519317
2018-06-09,99076.58451519317
2018-06-10,99076.58451519317
2018-06-11,99076.58451519317
2018-06-12,99076.58451519317
2018-06-13,99076.58451519317
2018-06-14,99076.58451519317
2018-06-15,99076.58451519317
2018-06-16,99076.58451519317
2018-06-17,99076.58451519317
2018-06-18,104407.06654436963
2018-06-19,104407.06654436963
2018-06-20,104407.06654436963
2018-06-21,104407.06654436963
2018-06-22,109600.03705273423
2018-06-23,109600.03705273423
2018-06-24,109600.03705273423
2018-06-25,114667.75212380452
2018-06-26,119578.66807443392
2018-06-27,124403.32467026799
2018-06-28,129407.00230401133
2018-06-29,134794.85851855448
2018-06-30,134794.85851855448
2018-07-01,134794.85851855448
2018-07-02,140435.93003763093
2018-07-03,145957.69225519925
2018-07-04,151505.0242426052
2018-07-05,157040.3065300104
2018-07-06,162860.12425571267
2018-07-07,162860.12425571267
2018-07-08,162860.12425571267
2018-07-09,162860.12425571267
2018-07-10,168714.54573330126
2018-07-11,174700.16223533527
2018-07-12,181065.07963242393
2018-07-13,181065.07963242393
2018-07-14,181065.07963242393
2018-07-15,181065.07963242393
2018-07-16,181065.07963242393
2018-07-17,181065.07963242393
2018-07-18,187843.48007135798
2018-07-19,187843.48007135798
2018-07-20,187843.48007135798
2018-07-21,187843.48007135798
2018-07-22,187843.48007135798
2018-07-23,187843.48007135798
2018-07-24,187843.48007135798
2018-07-25,187843.48007135798
2018-07-26,187843.48007135798
2018-07-27,195500.21422752953
2018-07-28,195500.21422752953
2018-07-29,195500.21422752953
2018-07-30,195500.21422752953
2018-07-31,195500.21422752953
2018-08-01,195500.21422752953
2018-08-02,195500.21422752953
2018-08-03,195500.21422752953
2018-08-04,195500.21422752953
2018-08-05,195500.21422752953
2018-08-06,195500.21422752953
2018-08-07,195500.21422752953
2018-08-08,195500.21422752953
2018-08-09,195500.21422752953
2018-08-10,195500.21422752953
