number,value,params_gbr_learning_rate,params_gbr_max_depth,params_gbr_max_features,params_gbr_min_samples_leaf,params_gbr_min_samples_split,params_gbr_n_estimators,params_gbr_subsample,params_model,params_rfr_max_depth,params_rfr_max_features,params_rfr_min_samples_leaf,params_rfr_min_samples_split,params_rfr_n_estimators,state
0,0.6258616532670664,0.04128205343826222,5.0,log2,1.0,4.0,759.0,0.9330880728874675,gbr,,,,,,COMPLETE
1,0.6541625754697571,0.003741940611118496,6.0,sqrt,4.0,5.0,850.0,0.762378215816119,gbr,,,,,,COMPLETE
2,0.6593784483817523,,,,,,,,rfr,9.0,log2,8.0,10.0,363.0,COMPLETE
3,0.6553670405844454,,,,,,,,rfr,6.0,sqrt,10.0,3.0,647.0,COMPLETE
4,0.6591547896617188,,,,,,,,rfr,10.0,log2,5.0,4.0,716.0,COMPLETE
5,0.6474955028676884,0.02533074654001447,12.0,sqrt,10.0,5.0,380.0,0.8875664116805573,gbr,,,,,,COMPLETE
6,0.4483224197768193,0.0033802737047124404,3.0,sqrt,4.0,8.0,179.0,0.6356745158869479,gbr,,,,,,COMPLETE
7,0.6205188817478998,0.14625327121207682,4.0,log2,8.0,20.0,226.0,0.5993578407670862,gbr,,,,,,COMPLETE
8,0.6197936596436813,0.0015843250684388678,9.0,sqrt,9.0,4.0,794.0,0.811649063413779,gbr,,,,,,COMPLETE
9,0.6355360861064976,0.052571272727868656,18.0,sqrt,2.0,10.0,757.0,0.8566223936114975,gbr,,,,,,COMPLETE
10,0.6553938352501001,,,,,,,,rfr,20.0,log2,9.0,17.0,105.0,COMPLETE
11,0.6603412552571679,,,,,,,,rfr,10.0,log2,3.0,6.0,944.0,COMPLETE
12,0.6628332720691612,,,,,,,,rfr,11.0,log2,1.0,10.0,268.0,COMPLETE
13,0.6587333932699069,,,,,,,,rfr,15.0,log2,1.0,10.0,955.0,COMPLETE
14,0.6558166769145166,,,,,,,,rfr,13.0,log2,1.0,8.0,297.0,COMPLETE
15,0.6301434076287187,,,,,,,,rfr,3.0,sqrt,4.0,14.0,946.0,COMPLETE
16,0.6608803485402964,,,,,,,,rfr,16.0,log2,3.0,6.0,459.0,COMPLETE
17,0.6568675066775316,,,,,,,,rfr,17.0,log2,3.0,13.0,446.0,COMPLETE
18,0.6544791294154533,,,,,,,,rfr,16.0,sqrt,2.0,20.0,141.0,COMPLETE
19,0.6606670934361474,,,,,,,,rfr,13.0,log2,6.0,7.0,481.0,COMPLETE
20,0.6579071047370086,,,,,,,,rfr,19.0,log2,6.0,2.0,276.0,COMPLETE
21,0.6591631584282032,,,,,,,,rfr,13.0,log2,7.0,7.0,507.0,COMPLETE
22,0.6604400236188754,,,,,,,,rfr,13.0,log2,5.0,6.0,621.0,COMPLETE
23,0.658417246707629,,,,,,,,rfr,15.0,log2,3.0,9.0,417.0,COMPLETE
24,0.6582877885619713,,,,,,,,rfr,8.0,log2,1.0,13.0,233.0,COMPLETE
25,0.6596295321944903,,,,,,,,rfr,12.0,sqrt,6.0,5.0,509.0,COMPLETE
26,0.6599675209166694,,,,,,,,rfr,18.0,log2,4.0,8.0,366.0,COMPLETE
27,0.6590152854667747,,,,,,,,rfr,15.0,log2,2.0,11.0,730.0,COMPLETE
28,0.6568050106031769,,,,,,,,rfr,11.0,log2,7.0,5.0,194.0,COMPLETE
29,0.656398614158409,,,,,,,,rfr,8.0,log2,2.0,12.0,571.0,COMPLETE
30,0.6588946935051908,,,,,,,,rfr,14.0,sqrt,4.0,15.0,335.0,COMPLETE
31,0.6603441041495168,,,,,,,,rfr,13.0,log2,5.0,7.0,607.0,COMPLETE
32,0.6591067735983824,,,,,,,,rfr,12.0,log2,5.0,6.0,821.0,COMPLETE
33,0.6566593198733157,,,,,,,,rfr,17.0,log2,7.0,9.0,462.0,COMPLETE
34,0.6592978151479851,,,,,,,,rfr,11.0,log2,6.0,4.0,650.0,COMPLETE
35,0.6583770937411177,,,,,,,,rfr,14.0,log2,4.0,7.0,529.0,COMPLETE
36,0.5495153841048891,0.4122168351926882,20.0,log2,7.0,17.0,550.0,0.5113079429556288,gbr,,,,,,COMPLETE
37,0.6581716864327256,,,,,,,,rfr,16.0,log2,3.0,9.0,410.0,COMPLETE
38,0.6459156096586587,0.008350140084646438,14.0,log2,6.0,14.0,980.0,0.9881021681745668,gbr,,,,,,COMPLETE
39,0.6591461940936604,,,,,,,,rfr,9.0,log2,8.0,11.0,741.0,COMPLETE
40,0.46076554083476695,0.0010365897103367392,15.0,log2,4.0,12.0,535.0,0.6802484990227545,gbr,,,,,,COMPLETE
41,0.6603927861411185,,,,,,,,rfr,13.0,log2,5.0,7.0,590.0,COMPLETE
42,0.6600310476683009,,,,,,,,rfr,14.0,log2,5.0,6.0,585.0,COMPLETE
43,0.6597553234380278,,,,,,,,rfr,12.0,log2,6.0,8.0,653.0,COMPLETE
44,0.6595476388417121,,,,,,,,rfr,10.0,log2,5.0,3.0,482.0,COMPLETE
45,0.6570337649887625,,,,,,,,rfr,13.0,sqrt,8.0,5.0,616.0,COMPLETE
46,0.6624741673142873,,,,,,,,rfr,11.0,log2,2.0,4.0,792.0,COMPLETE
47,0.49132126155722466,0.4871537032370324,9.0,sqrt,2.0,20.0,102.0,0.5134390882561994,gbr,,,,,,COMPLETE
48,0.6570035544856375,,,,,,,,rfr,6.0,log2,2.0,3.0,847.0,COMPLETE
49,0.6576076171086283,,,,,,,,rfr,9.0,log2,1.0,4.0,795.0,COMPLETE
50,0.6601180040098724,,,,,,,,rfr,10.0,log2,2.0,2.0,689.0,COMPLETE
51,0.6596669627865004,,,,,,,,rfr,11.0,log2,1.0,6.0,871.0,COMPLETE
52,0.6605432531890648,,,,,,,,rfr,12.0,log2,3.0,7.0,552.0,COMPLETE
53,0.6581956150038574,,,,,,,,rfr,10.0,log2,3.0,10.0,406.0,COMPLETE
